Year,Month,Team,Followers_Facebook,Followers_Twitter,Followers_Instagram,Followers_Snapchat,Followers_Weibo,Engagements_Facebook,Engagements_Twitter,Engagements_Instagram,Impressions_Facebook,Impressions_Twitter
2016,9,ATL,1594980,676197,553033,27473,13150,1541392,192358,274895,17963762,8152652
2016,9,BOS,8773450,1965007,1182441,44107,15963,2761483,340744,769445,48848592,13499531
2016,9,BRK,2791000,680065,559419,15531,1292588,441951,109599,68435,8706073,4815980
2016,9,CHA,1732573,586799,652194,21876,520086,230125,93343,180034,6031601,3975016
2016,9,CHI,18768015,2889109,2597211,141698,1289159,3827364,437393,1401979,98907495,15337652
2016,9,CLE,7199694,1504682,3512519,170779,1889202,5716455,684222,3192232,98294052,19660588
2016,9,DAL,4519325,1002380,620150,20239,797868,1131587,211827,125755,23154666,8071398
2016,9,DEN,1956208,521510,432587,11347,495183,336531,135106,95864,7962047,3433771
2016,9,DET,1852584,578934,516474,19499,495109,406830,105779,228951,14200506,7881006
2016,9,GSW,9212273,2455285,5255608,263798,2502008,16355943,1860983,4437666,235679995,58192190
2016,9,HOU,3806063,1176148,1353874,39727,1833864,1504741,262133,748600,24150690,8425132
2016,9,IND,3310069,789581,884744,22798,501577,836421,210503,310635,16334690,7437168
2016,9,LAC,3837646,988003,1510612,68796,1607000,5725047,124809,379441,47294438,4785659
2016,9,LAL,21850350,5248586,3091858,102020,2064966,1897291,863921,1815429,96328430,29207620
2016,9,MEM,1808908,617470,448142,15621,16665,259751,130971,109800,6616318,3955906
2016,9,MIA,16201108,3566600,2764880,71204,1545734,2468227,459337,1035324,47979691,14481469
2016,9,MIL,1410402,519517,591184,43051,780789,2892240,275028,513047,37753947,12331327
2016,9,MIN,1832322,512381,583324,14004,787710,782975,355668,284149,21458688,6659587
2016,9,NOP,1628226,519697,606426,12947,505217,537199,179025,250636,10807865,5728543
2016,9,NYK,6107973,1526610,1336737,33150,1295581,6274572,354283,893946,66498872,16336672
2016,9,OKC,6723534,1420255,2258940,69985,1347831,1890846,168027,1300928,28090870,10371118
2016,9,ORL,2762651,1391720,495221,n/a,1151808,1779151,38621,197367,17586928,3375726
2016,9,PHI,1517868,717068,534517,20931,782815,2278621,649614,421697,28486924,14958133
2016,9,PHX,1888589,582642,500767,16930,9219,197518,172757,180713,8743584,5060450
2016,9,POR,2386240,636570,712810,54997,14875,1101695,150843,294725,22082887,5860175
2016,9,SAC,1751396,517460,527986,15816,504824,1734812,191831,339339,24866019,6113919
2016,9,SAS,6948712,1587737,1392904,83542,1401591,5022247,488253,856683,74638885,14264331
2016,9,TOR,2164586,1239520,860483,38883,1402404,161359,157334,524495,13019428,7719701
2016,9,UTA,1162229,508416,384133,12617,507717,486978,162646,132285,7155479,3759574
2016,9,WAS,1522628,528481,544269,21296,29392,825603,220306,386703,12106958,7480573
2016,10,ATL,1602127,716224,566228,28676,13445,2658714,768896,386087,27392321,15174493
2016,10,BOS,8770179,1989239,1204941,46847,16349,4566267,1592965,2040368,76248286,33773615
2016,10,BRK,2798486,687074,572923,17632,1294592,1289573,415863,165336,19796083,10795525
2016,10,CHA,1735953,600694,657579,22868,518686,15245101,699964,597782,94439630,13093513
2016,10,CHI,18815620,2970897,2672492,146878,1291602,29907553,3136530,3363659,407640071,50947314
2016,10,CLE,7373921,1558838,3631342,178338,1908549,18778596,5011838,9262516,250714907,61559165
2016,10,DAL,4521674,1030996,628795,22192,798706,3477189,860752,309080,50295498,16559063
2016,10,DEN,1956693,531571,442988,12058,495214,1110416,439446,193418,14952195,8713234
2016,10,DET,1861581,594423,526263,20927,494980,1057495,694262,468786,26736743,14295220
2016,10,GSW,9391382,2547074,5422491,274033,2509836,37254940,7427237,14690933,440684165,169318424
2016,10,HOU,3817581,1214599,1371614,41972,1910937,5958402,1444498,2192930,65991102,26351063
2016,10,IND,3317136,805732,906558,24526,501656,1588357,657150,750841,27119605,13593778
2016,10,LAC,3849054,997570,1543045,70198,1676102,4196403,815644,948190,54076457,14841117
2016,10,LAL,21846241,5357121,3156290,108231,2065501,15914622,4363475,4851082,261824730,100800880
2016,10,MEM,1811548,631015,452910,16356,16832,1293158,549273,375636,18138709,10471478
2016,10,MIA,16176409,3612582,2785974,73588,1541329,10117382,1759004,2169538,116553212,34969142
2016,10,MIL,1422416,536511,601832,44641,780583,5395589,1038730,717653,51108934,18335713
2016,10,MIN,1842779,531033,603893,15620,787734,594375,573339,572711,18135974,12611641
2016,10,NOP,1635382,531693,620305,13748,505919,839317,812013,509213,17029034,14637809
2016,10,NYK,6123052,1560822,1372279,36372,1295941,10700297,2319670,2152749,102206314,38954346
2016,10,OKC,6854210,1439867,2307403,72504,1348273,7606774,1918645,4992124,101330076,26908358
2016,10,ORL,2763530,1404020,503597,n/a,1151344,2559032,529904,321955,21668000,6399236
2016,10,PHI,1527250,741871,548784,21485,783085,4601376,1869693,923076,46556224,27376973
2016,10,PHX,1890655,594857,509716,18344,9469,839001,903057,535974,17300374,14475995
2016,10,POR,2395271,651795,727338,56347,15396,5023178,2055278,1019758,71888511,20180875
2016,10,SAC,1759546,533811,534740,16895,504773,4494132,1084666,864518,45157308,12507623
2016,10,SAS,6986449,1643616,1428782,86616,1404759,30592813,4111824,2794246,319573088,50171236
2016,10,TOR,2183698,1261423,887192,41122,1401686,1976793,1197384,2193750,50615415,32418404
2016,10,UTA,1170834,520783,389572,14295,507625,1440642,557911,419976,19217004,10632843
2016,10,WAS,1527418,537045,556873,21818,29545,1056563,487731,573998,16048643,10738036
2016,11,ATL,1612770.733,738131.2667,573283.5,30503,14167,7544743,2635191,601930,56043171,30608522
2016,11,BOS,8772495.467,2000650.833,1216015.433,49733,16844,5381386,2436591,2339367,99554577,43694446
2016,11,BRK,2804121.833,692784.0333,579123.0667,19978,1296375,1918564,940616,193936,21909227,15755132
2016,11,CHA,1743960.567,609777.9667,663232.1,24257,517675,2005094,1486528,974451,30169573,20847692
2016,11,CHI,18845803.27,3006237.033,2716230.2,153559,1293176,28733955,4366594,3831352,304823593,72799239
2016,11,CLE,7509983.367,1585199.7,3703008.133,187814,1926534,30897218,8368609,10444068,331141875,82511414
2016,11,DAL,4527600.767,1045565.533,634002.2,23623,800029,8528950,1984201,371766,93706581,19963446
2016,11,DEN,1959328.333,537690.9,449106.5,13021,495180,903593,623671,159473,13490166,10467001
2016,11,DET,1867045.767,603589.5333,532098.1,22554,495147,1483053,1067177,592117,32568517,19270191
2016,11,GSW,9529727.5,2588003.8,5502156.167,285421,2565231,73222759,13486190,20976607,712272290,223700074
2016,11,HOU,3947259.033,1235272.767,1383005.467,46595,2039764,8393365,2678472,2074673,86999373,29108869
2016,11,IND,3324160.367,815323.9,917041.9,26083,501704,2066100,1252752,1053311,36982366,24778509
2016,11,LAC,3864877.233,1005896.233,1563023,72977,1822920,10237513,4223703,2513675,103011751,38597986
2016,11,LAL,21873347.93,5398791.733,3201118.133,117744,2082001,41661564,8782068,7062920,456784627,144157582
2016,11,MEM,1817950.367,640039.2,455923.6667,18276,18019,4259762,1415605,574079,41365625,18304579
2016,11,MIA,16167753.27,3630913.167,2796985.6,76238,1559872,12324359,2818826,2002137,142453537,40331246
2016,11,MIL,1433640.467,545430.0333,609256.6333,45781,781079,8697351,2356832,1134093,83224709,23021810
2016,11,MIN,1853489.833,538374.7333,615899.4333,17187,788331,1456525,1590800,962420,26895512,24241782
2016,11,NOP,1642174.267,540122.5333,628642.7,14788,506680,1119762,1189426,562420,20563496,17984238
2016,11,NYK,6137148.8,1575962.433,1389930.367,40456,1297143,12617606,4471721,3551755,130428449,54134158
2016,11,OKC,6930956.667,1452911.833,2339972.067,76811,1351308,12547678,4105564,6639476,146058601,41327081
2016,11,ORL,2766735.867,1411209.233,508676.1333,n/a,1151163,2876289,923836,363113,26239599,7998315
2016,11,PHI,1537461.067,754083.0333,555874.4667,22542,784084,6907727,3190892,1038030,61814050,32431386
2016,11,PHX,1896107.833,603746.3,515953.8,19852,9933,4546315,1378127,674604,41158677,17590515
2016,11,POR,2405996.433,660746.8333,737277.4667,57897,16033,4609753,2749599,1079191,57584046,22500512
2016,11,SAC,1766975.867,542351.0333,539149.0333,18349,504904,5898860,1413886,724622,55096470,17098695
2016,11,SAS,7010568.4,1664530.667,1447764.633,89585,1408086,25006842,5416026,2506580,249649662,53790794
2016,11,TOR,2198537.467,1271746,901957.9,44380,1401394,5142150,3604493,3132928,77838007,42846607
2016,11,UTA,1176226.467,529564.0667,393493.6,16077,507992,2503731,1405947,611079,28258181,18056310
2016,11,WAS,1534006.267,543166.7,564070.2667,22594,30122,1480870,1364104,698881,19209132,17303141
2016,12,ATL,1612770.733,738131.2667,573283.5,34487,16282,1891807,1108813,601930,23066362,21348470
2016,12,BOS,8772495.467,2000650.833,1216015.433,56473,19269,6825553,3082517,2339367,114266528,45533743
2016,12,BRK,2804121.833,692784.0333,579123.0667,22649,1359352,1198787,881109,193936,19324619,14862666
2016,12,CHA,1743960.567,609777.9667,663232.1,27975,518409,1833915,1386267,974451,29833618,19676471
2016,12,CHI,18845803.27,3006237.033,2716230.2,169329,1295614,32501694,5586062,3831352,360120654,73852493
2016,12,CLE,7509983.367,1585199.7,3703008.133,211447,1946374,40752644,10085142,10444068,400317881,95919072
2016,12,DAL,4527600.767,1045565.533,634002.2,27495,802873,6021254,1967658,371766,78735685,19222443
2016,12,DEN,1959328.333,537690.9,449106.5,16444,495934,1411597,655651,159473,23080251,11377259
2016,12,DET,1867045.767,603589.5333,532098.1,26359,496050,1247372,1270373,592117,32815143,20343857
2016,12,GSW,9529727.5,2588003.8,5502156.167,318176,2667209,57387343,13211908,20976607,668100818,203412848
2016,12,HOU,3947259.033,1235272.767,1383005.467,55726,2098137,13546678,4331051,2074673,155315842,43197545
2016,12,IND,3324160.367,815323.9,917041.9,29906,503543,1358874,724840,1053311,32148146,19346688
2016,12,LAC,3864877.233,1005896.233,1563023,80050,1915506,7944628,3348186,2513675,103981668,34167840
2016,12,LAL,21873347.93,5398791.733,3201118.133,131052,2101567,23136898,6204282,7062920,297224774,116900058
2016,12,MEM,1817950.367,640039.2,455923.6667,21624,20791,4040775,1911595,574079,42544164,23298218
2016,12,MIA,16167753.27,3630913.167,2796985.6,85230,1586197,9720333,2358740,2002137,131068375,41769336
2016,12,MIL,1433640.467,545430.0333,609256.6333,50613,783693,3883737,2662345,1134093,53311833,25344071
2016,12,MIN,1853489.833,538374.7333,615899.4333,21299,790809,1949551,1375786,962420,30958555,22307413
2016,12,NOP,1642174.267,540122.5333,628642.7,19613,508883,1247542,1472448,562420,22115756,14775006
2016,12,NYK,6137148.8,1575962.433,1389930.367,48602,1300108,12652342,4515130,3551755,118781063,51514662
2016,12,OKC,6930956.667,1452911.833,2339972.067,87855,1353942,8840473,3782144,6639476,127510154,37866018
2016,12,ORL,2766735.867,1411209.233,508676.1333,n/a,1151827,2596233,783646,363113,28616222,7832333
2016,12,PHI,1537461.067,754083.0333,555874.4667,25747,786586,4041116,3005892,1038030,44619749,29666900
2016,12,PHX,1896107.833,603746.3,515953.8,23217,10945,1786132,1082703,674604,26074085,14422195
2016,12,POR,2405996.433,660746.8333,737277.4667,61902,18855,3512613,2563722,1079191,51891866,22005503
2016,12,SAC,1766975.867,542351.0333,539149.0333,21440,505469,2754933,2031484,724622,37122937,23450908
2016,12,SAS,7010568.4,1664530.667,1447764.633,99545,1455785,44220697,10545204,2506580,461235085,90290290
2016,12,TOR,2198537.467,1271746,901957.9,52393,1402869,4645912,4074543,3132928,74686693,41331230
2016,12,UTA,1176226.467,529564.0667,393493.6,18383,510329,3176807,1416169,611079,39382810,16731538
2016,12,WAS,1534006.267,543166.7,564070.2667,25471,32510,2245826,1621972,698881,31524649,18974329
2017,1,ATL,1641690,849607,609671,36645,19102,3466280,3088725,802800,38030637,36615590
2017,1,BOS,8767442,2138559,1274640,60642,20454,4755724,4460295,3964624,102836380,58352162
2017,1,BRK,2808286,715552,603739,26013,1398898,902867,698476,113366,14274151,12424048
2017,1,CHA,1764385,656952,689716,29767,519766,1711898,1466883,948372,29040627,21249629
2017,1,CHI,18910216,3274615,2885764,179038,1296904,34312375,5914492,4657554,391575325,89911436
2017,1,CLE,8040307,1824034,4066447,223260,1960756,9342457,9934260,12638899,85789542,102399142
2017,1,DAL,4537120,1137796,658252,28950,805754,6950162,2711727,477362,88984441,23234478
2017,1,DEN,1979795,577915,477788,17775,496944,4888542,1116306,491444,58853453,19358883
2017,1,DET,1897667,651521,560490,28028,496454,1718565,1121721,546200,38488634,18645391
2017,1,GSW,10192982,3016714,5992135,334022,2770817,71872940,14740097,21141523,847124258,233958615
2017,1,HOU,5089751,1418117,1496013,60238,2153163,22150741,4878603,2680753,275802724,45845982
2017,1,IND,3340084,858579,974800,32151,504339,2233778,1201935,1248099,43024994,21956750
2017,1,LAC,3917212,1091698,1657797,83019,1997052,8398556,2933173,2854086,106068940,33565745
2017,1,LAL,21880917,5699662,3348580,136345,2123371,18503766,4893070,5330462,290772582,98357480
2017,1,MEM,1843043,693808,474411,23266,23047,5406771,2891874,722940,53187487,28099206
2017,1,MIA,16103136,3781545,2839803,88825,1619841,14974181,3995643,2714398,179012008,51657235
2017,1,MIL,1530804,606996,655918,52839,785081,18541311,4205839,1822747,154441729,35341066
2017,1,MIN,1885651,586586,670350,23184,793559,2206334,1918963,1086041,34957026,25613786
2017,1,NOP,1671565,579641,669611,21025,511929,3992453,1201191,484606,33339478,13247517
2017,1,NYK,6178176,1667851,1468168,51812,1302816,9436950,4368418,2776804,105150544,50808561
2017,1,OKC,7282542,1631423,2511373,93647,1356528,15581919,3434069,6451806,173805976,37188906
2017,1,ORL,2772537,1462417,534979,n/a,1152042,2610992,862393,368850,30825708,7460898
2017,1,PHI,1581288,835996,608523,28702,790269,9674239,7138956,1695932,95026075,53119309
2017,1,PHX,1909015,675757,542827,26188,NA,2105810,1568660,732990,33314416,17500395
2017,1,POR,2431672,741811,774402,63609,21854,5362637,4027246,1558066,76647956,29769407
2017,1,SAC,1892879,594505,560978,23013,505981,3809355,3984102,781229,48987270,34302506
2017,1,SAS,7102688,1885273,1537657,103356,1541630,31278734,6482625,2859233,322631902,63567520
2017,1,TOR,2234654,1322340,958484,55671,1404011,5644697,4812193,3993345,91855559,51655262
2017,1,UTA,1216424,567586,414098,21382,512757,3962295,2118289,892365,48006950,25106203
2017,1,WAS,1554723,588951,598718,26747,33076,3264428,2946563,1473260,40745755,28484786
2017,2,ATL,1650359,884740,626558,39153,19656,2092940,1352340,629354,26135529,22473327
2017,2,BOS,8771228,2237110,1315653,65323,21615,8186840,4656670,4477880,119084789,54044473
2017,2,BRK,2807101,731859,611551,29639,1467691,841657,477606,155673,12047975,8217043
2017,2,CHA,1773618,671946,699255,31435,519802,1908431,1382278,986472,27406676,16514933
2017,2,CHI,18928882,3362057,2941801,186267,1297383,22379983,4352152,4297147,276135820,56126744
2017,2,CLE,8222051,1920483,4204393,232499,1984759,48005534,10905979,13405846,379687260,88236868
2017,2,DAL,4552005,1177812,667098,30359,807553,9743965,3323924,419214,88050397,22422348
2017,2,DEN,1994866,595484,489847,18972,497459,5771747,1241659,812688,70000809,14059120
2017,2,DET,1909436,667291,572023,29530,496860,1770366,1360978,632586,36230450,20403931
2017,2,GSW,10363500,3192856,6138830,346811,2835224,55000324,12451334,22039567,553034917,257524286
2017,2,HOU,5387585,1521702,1546854,67202,2215513,20764948,3757347,2984131,223159029,33611325
2017,2,IND,3345043,875516,997770,34043,504880,2705787,1479095,1307135,42164467,21137058
2017,2,LAC,3932267,1110448,1690657,85483,2074964,9517755,2771712,2923346,86265852,25175280
2017,2,LAL,21873386,5869804,3394687,140220,2134856,11240481,4065006,4909368,210324053,79524689
2017,2,MEM,1850411,710615,481534,24646,25104,1845263,1316083,563532,21023031,13969512
2017,2,MIA,16079564,3868091,2860467,92208,1637564,11991625,2697451,2669744,144255517,38209174
2017,2,MIL,1552382,622927,674362,54646,786002,14385811,3097933,1889137,118407897,26581084
2017,2,MIN,1897232,607060,690994,24681,794022,1576658,1617429,1004050,24223944,18089403
2017,2,NOP,1696484,601849,703831,23726,513297,4682206,6050122,1373307,52593249,38051538
2017,2,NYK,6185794,1717113,1491431,54564,1305184,7449777,3694178,2519260,100267685,37328416
2017,2,OKC,7429328,1708607,2574762,99991,1359123,20490928,3805714,8770249,190682802,34635174
2017,2,ORL,2774780,1481322,544716,5337,1152242,1812217,560523,278662,20839003,4891077
2017,2,PHI,1597377,860578,632327,30061,792559,5065189,2901559,1266302,50839486,26278005
2017,2,PHX,1915521,700838,556940,28173,12728,3640488,1576344,816038,40829497,14489050
2017,2,POR,2445452,769812,789143,65047,23228,4544772,2044381,853122,52609423,16041445
2017,2,SAC,2051076,631012,572477,24376,509032,4721378,4089031,965797,51745774,33401570
2017,2,SAS,7129828,2030568,1567962,106185,1563249,22824980,6184273,2697121,226382090,51748945
2017,2,TOR,2247882,1350569,980742,58556,1404403,5510290,4371958,4657287,78287082,67921977
2017,2,UTA,1228703,580041,422793,24570,515080,3324558,1776468,828090,36445108,15650209
2017,2,WAS,1569730,606827,618626,28228,33691,3097343,2882338,1612464,37904565,25785998
2017,3,ATL,1662802,929275,648143,41317,20155,13289769,2062953,774994,86812489,24302947
2017,3,BOS,8774677,2273597,1364323,71216,24473,11131637,4882886,5455287,140028554,54836487
2017,3,BRK,2804594,738423,624670,33977,1491932,933579,1045025,379804,15807341,13764933
2017,3,CHA,1776818,690247,713151,33464,520583,1775197,1582657,1039275,23814124,20683654
2017,3,CHI,18929149,3445715,3004937,194357,1298172,18864775,4523751,5895801,237344060,59811521
2017,3,CLE,8370651,1980791,4357321,242057,2023916,28936756,9868998,13919281,277467570,85714841
2017,3,DAL,4558960,1213911,681527,32178,810241,14451903,4251175,553307,120940052,31938466
2017,3,DEN,2001827,609018,506612,20243,498040,4986071,1398720,731323,50496586,13946463
2017,3,DET,1915661,682462,586114,31278,497139,1193064,1102818,575644,26807455,19568087
2017,3,GSW,10546479,3319306,6313554,362079,2912819,48247656,16296522,27625165,539829933,170813697
2017,3,HOU,5549749,1587860,1619781,74187,2259488,20965102,4483273,3216630,220723820,41280439
2017,3,IND,3346382,893234,1028430,35996,506501,2671119,1188660,1230119,36154284,20065096
2017,3,LAC,3938718,1128213,1726838,87961,2149118,7958968,3410917,3389192,71064135,33501730
2017,3,LAL,21864764,6017521,3450531,144106,2140131,14096256,6098948,5395077,226619645,107749711
2017,3,MEM,1854122,728539,494251,26316,26975,2538616,1862439,657314,26705393,19515552
2017,3,MIA,16059089,3954152,2883304,96122,1667966,17641136,4610151,4012051,185792728,56852110
2017,3,MIL,1564206,644377,700611,56784,786265,12178671,3694768,2096654,97389878,31558729
2017,3,MIN,1901067,618640,714359,26195,794229,2066169,1914042,1166292,30808711,23337786
2017,3,NOP,1704341,622371,729782,26076,513936,1425158,1523643,920934,21904619,16296003
2017,3,NYK,6185615,1746752,1518333,56703,1306876,8413452,2847141,1759897,95594427,32497316
2017,3,OKC,7570860,1752603,2654273,106733,1361048,16005590,4085825,7771922,148549575,38806800
2017,3,ORL,2775012,1489093,556230,8392,1152204,2050385,655165,377968,22537690,6119142
2017,3,PHI,1603967,888183,653787,31076,792864,4493310,3385519,1397631,42711767,32172390
2017,3,PHX,1923267,718259,580109,30447,15009,3536281,2290140,1194464,46861639,19700182
2017,3,POR,2451979,787816,810674,66551,25185,5365447,3992362,1679829,67109841,29966115
2017,3,SAC,2150708,648913,587292,25559,511077,3449615,1780796,513133,35473314,18015339
2017,3,SAS,7167772,2108509,1619311,110987,1569883,40545121,8732541,5369459,344302625,78539165
2017,3,TOR,2254545,1368746,1010658,61859,1404816,4504928,3300407,4016896,62680222,36905842
2017,3,UTA,1240170,594752,436148,28305,515431,6448024,2177890,1165770,55263311,21582741
2017,3,WAS,1579465,622043,645784,30085,35585,4170881,3808510,2180684,50192390,34549378
2017,4,ATL,1670275,973326,671869,44347,86913,2063550,1719548,949096,31904563,25215374
2017,4,BOS,8795149,2326906,1437332,79672,138545,16502656,7532653,6899576,208446728,78138359
2017,4,BRK,2798710,748827,636809,38208,1526681,472922,458315,270035,7567153,7265814
2017,4,CHA,1776843,718826,730768,35694,522501,607341,568969,443585,9699518,8593648
2017,4,CHI,18929923,3553136,3084009,203223,1310656,26053797,6014357,7159211,318654170,74990309
2017,4,CLE,8486468,2050399,4511133,255708,2129024,26022720,12438298,14733466,256320772,98910369
2017,4,DAL,4554617,1252030,694169,35498,812790,3044998,1819290,222024,33320630,16985060
2017,4,DEN,2004532,626460,523729,21460,498551,2056854,1001387,459616,30086199,8855534
2017,4,DET,1916981,702057,600508,33453,569515,1268064,595620,318640,22043636,10530236
2017,4,GSW,10697634,3493526,6483199,378087,3011545,54407729,16785388,25497333,556196962,186959795
2017,4,HOU,6002433,1676061,1701088,81782,2340203,20692464,5348379,3524505,232657644,44548529
2017,4,IND,3355746,919097,1062871,40175,509406,3885944,2019892,1309244,48488178,23249859
2017,4,LAC,3945930,1160629,1763907,91192,2238084,5880178,3830065,2835943,62904055,34549040
2017,4,LAL,21837238,6125153,3513368,148791,2176974,11696584,3492215,3458573,170161070,58313710
2017,4,MEM,1862072,754453,511364,28660,128460,2829379,1938002,898548,29882704,22123704
2017,4,MIA,16034139,4036351,2902869,100328,1707631,7853203,2248044,2147734,92767599,31849357
2017,4,MIL,1592392,686261,739688,62538,789066,12542427,5633364,2581910,100622399,40084648
2017,4,MIN,1902962,636973,737164,27894,794783,1655745,1472012,751877,21290073,13675538
2017,4,NOP,1707524,650218,753389,27591,514454,557373,488338,214537,7261412,5241777
2017,4,NYK,6171270,1770761,1541238,58517,1308814,2590572,1276649,702712,30986961,15565998
2017,4,OKC,7691696,1822277,2750565,115496,1367914,16620434,4621038,8697748,171999669,43501107
2017,4,ORL,2773634,1500747,571518,10445,1152508,1020109,321946,218907,14794811,3974072
2017,4,PHI,1604575,912423,672525,32100,793375,1577748,1068594,466431,16462948,11858298
