Season,Rank,Team_Start_of_Season,Player
2018-19,1,GSW,Stephen Curry
2018-19,2,LAL,LeBron James
2018-19,3,GSW,Kevin Durant
2018-19,4,BOS,Kyrie Irving
2018-19,5,HOU,James Harden
2018-19,6,BOS,Jayson Tatum
2018-19,7,MIL,Giannis Antetokounmpo
2018-19,8,PHI,Ben Simmons
2018-19,9,GSW,Klay Thompson
2018-19,10,OKC,Russell Westbrook
2018-19,11,PHI,Joel Embiid
2018-19,12,TOR,Kawhi Leonard
2018-19,13,SAS,DeMar DeRozan
2018-19,14,OKC,Paul George
2018-19,15,NYK,Kristaps Porzingis
2018-19,16,LAL,Lonzo Ball
2018-19,17,PHX,Devin Booker
2018-19,18,HOU,Chris Paul
2018-19,19,GSW,Draymond Green
2018-19,20,DAL,Luka Doncic
2018-19,21,CLE,Kevin Love
2018-19,22,POR,Damian Lillard
2018-19,23,UTA,Donovan Mitchell
2018-19,24,NOP,Anthony Davis
2018-19,25,DAL,Dirk Nowitzki
2018-19,26,IND,Victor Oladipo
2018-19,27,WAS,John Wall
2018-19,28,CLE,Collin Sexton
2018-19,29,NYK,Kevin Knox
2018-19,30,ATL,Trae Young
2018-19,31,MIN,Jimmy Butler
2018-19,32,SAS,Manu Ginobili
2018-19,33,GSW,Andre Iguodala
2018-19,34,DEN,Nikola Jokic
2018-19,35,CHI,Zach LaVine
2018-19,36,MIN,Derrick Rose
2018-19,37,CHA,Kemba Walker
2018-19,38,LAL,Brandon Ingram
2018-19,39,MIN,Karl-Anthony Towns
2018-19,40,SAS,LaMarcus Aldridge
2018-19,41,BOS,Gordon Hayward
2018-19,42,CHI,Lauri Markkanen
2018-19,43,LAC,Lou Williams
2018-19,44,DEN,Michael Porter Jr.
2018-19,45,SAC,Marvin Bagley III
2018-19,46,BOS,Jaylen Brown
2018-19,47,NYK,Frank Ntilikina
2018-19,48,PHX,Deandre Ayton
2018-19,49,SAC,DeAaron Fox
2018-19,50,LAL,Kyle Kuzma
2017-18,1,GSW,Stephen Curry
2017-18,2,CLE,Lebron James
2017-18,3,GSW,Kevin Durant
2017-18,4,BOS,Kyrie Irving
2017-18,5,MIL,Giannis Antetokounmpo
2017-18,6,PHI,Ben Simmons
2017-18,7,HOU,James Harden
2017-18,8,OKC,Russell Westbrook
2017-18,9,PHI,Joel Embiid
2017-18,10,NYK,Kristaps Porzingis
2017-18,11,SAS,Kawhi Leonard
2017-18,12,LAL,Lonzo Ball
2017-18,13,GSW,Klay Thompson
2017-18,14,POR,Damian Lillard
2017-18,15,TOR,Demar Derozan
2017-18,16,BOS,Jayson Tatum
2017-18,17,MIN,Jimmy Butler
2017-18,18,MIN,Karl-Anthony Towns
2017-18,19,GSW,Draymond Green
2017-18,20,WAS,John Wall
2017-18,21,PHX,Devin Booker
2017-18,22,LAL,Brandon Ingram
2017-18,23,NOP,Anthony Davis
2017-18,24,CLE,Dwyane Wade
2017-18,25,LAC,Blake Griffin
2017-18,26,CHA,Kemba Walker
2017-18,27,DAL,Dirk Nowitzki
2017-18,28,HOU,Chris Paul
2017-18,29,MIN,Andrew Wiggins
2017-18,30,OKC,Carmelo Anthony
2017-18,31,CLE,Derrick Rose
2017-18,32,SAS,Manu Ginobili
2017-18,33,IND,Victor Oladipo
2017-18,34,OKC,Paul George
2017-18,35,CLE,Kyle Korver
2017-18,36,BOS,Al Horford
2017-18,37,CLE,Isaiah Thomas
2017-18,38,DET,Andre Drummond
2017-18,39,BOS,Jaylen Brown
2017-18,40,BRK,D'Angelo Russell
2017-18,41,CLE,Kevin Love
2017-18,42,NOP,Demarcus Cousins
2017-18,43,GSW,Andre Iguodala
2017-18,44,MIA,Hassan Whiteside
2017-18,45,CHI,Lauri Markkanen
2017-18,46,SAC,De'Aaron Fox
2017-18,47,TOR,Kyle Lowry
2017-18,48,WAS,Bradley Beal
2017-18,49,BOS,Gordon Hayward
2017-18,50,MIL,Malcolm Brogdon
2017-18,51,CHI,Zach Lavine
2017-18,52,DEN,Nikola Jokic
2017-18,53,PHI,Markelle Fultz
2017-18,54,SAS,Tony Parker
2017-18,55,OKC,Steven Adams
2017-18,56,POR,Cj Mccollum
2017-18,57,SAS,Lamarcus Aldridge
2017-18,58,SAC,Buddy Hield
2017-18,59,MEM,Mike Conley
2017-18,60,NYK,Frank Ntilikina
2017-18,61,LAL,Jordan Clarkson
2017-18,62,IND,Myles Turner
2017-18,63,PHI,Dario Saric
2017-18,64,LAL,Kyle Kuzma
2017-18,65,BRK,Jeremy Lin
2017-18,66,NOP,Rajon Rondo
2017-18,67,UTA,Donovan Mitchell
2017-18,68,MIA,Goran Dragic
2017-18,69,LAL,Julius Randle
2017-18,70,PHI,J.J. Redick
2017-18,71,PHI,T.J. Mcconnell
2017-18,72,ATL,Dennis Schroder
2017-18,73,CLE,J.R. Smith
2017-18,74,BOS,Marcus Smart
2017-18,75,HOU,Eric Gordon
2017-18,76,HOU,Trevor Ariza
2017-18,77,CHA,Malik Monk
2017-18,78,SAS,Patty Mills
2017-18,79,NYK,Tim Hardaway Jr.
2017-18,80,ORL,Aaron Gordon
2017-18,81,IND,Lance Stephenson
2017-18,82,MIA,Justise Winslow
2017-18,83,LAL,Larry Nance Jr
2017-18,84,CHA,Dwight Howard
2017-18,85,WAS,Kelly Oubre
2017-18,86,DEN,Emmanuel Mudiay
2017-18,87,MEM,Marc Gasol
2017-18,88,MIL,Jabari Parker
2017-18,89,GSW,Javale Mcgee
2017-18,90,DET,Tobias Harris
2017-18,91,GSW,Nick Young
2017-18,92,RETIRED,Larry Johnson
2017-18,93,ORL,Evan Fournier
2017-18,94,DAL,Harrison Barnes
2017-18,95,ORL,Elfrid Payton
2017-18,96,UTA,Rudy Gobert
2017-18,97,LAC,Lou Williams
2017-18,98,UTA,Ricky Rubio
2017-18,99,DAL,Dennis Smith Jr.
2017-18,100,MIA,Dion Waiters
2016-17,1,GSW,Stephen Curry
2016-17,2,CLE,Lebron James
2016-17,3,GSW,Kevin Durant
2016-17,4,OKC,Russell Westbrook
2016-17,5,RETIRED,Kobe Bryant
2016-17,6,CLE,Kyrie Irving
2016-17,7,SAS,Kawhi Leonard
2016-17,8,MIL,Giannis Antetokounmpo
2016-17,9,HOU,James Harden
2016-17,10,CHI,Jimmy Butler
2016-17,11,NYK,Kristaps Porzingis
2016-17,12,BOS,Isaiah Thomas
2016-17,13,GSW,Klay Thompson
2016-17,14,CHI,Dwyane Wade
2016-17,15,NYK,Derrick Rose
2016-17,16,POR,Damian Lillard
2016-17,17,GSW,Draymond Green
2016-17,18,WAS,John Wall
2016-17,19,PHI,Joel Embiid
2016-17,20,TOR,Demar Derozan
2016-17,21,NYK,Carmelo Anthony
2016-17,22,PHI,Ben Simmons
2016-17,23,IND,Paul George
2016-17,24,LAC,Chris Paul
2016-17,25,RETIRED ,Tim Duncan
2016-17,26,NOP,Anthony Davis
2016-17,27,LAL,D'Angelo Russell
2016-17,28,LAL,Brandon Ingram
2016-17,29,DAL,Dirk Nowitzki
2016-17,30,LAC,Blake Griffin
2016-17,31,MIN,Karl-Anthony Towns
2016-17,32,CHA,Kemba Walker
2016-17,33,SAS,Manu Ginobili
2016-17,34,SAC,Demarcus Cousins
2016-17,35,BRK,Jeremy Lin
2016-17,36,MIN,Andrew Wiggins
2016-17,37,PHX,Devin Booker
2016-17,38,GSW,Andre Iguodala
2016-17,39,MIA,Hassan Whiteside
2016-17,40,MIL,Jabari Parker
2016-17,41,TOR,Kyle Lowry
2016-17,42,ATL,Kyle Korver
2016-17,43,UTA,Gordon Hayward
2016-17,44,CHI,Rajon Rondo
2016-17,45,CLE,Kevin Love
2016-17,46,BOS,Al Horford
2016-17,47,WAS,Bradley Beal
2016-17,48,RETIRED,Kareem Abdul-Jabbar
2016-17,49,ATL,Dwight Howard
2016-17,50,SAS,Lamarcus Aldridge
2016-17,51,PHX,Eric Bledsoe
2016-17,52,BOS,Marcus Smart
2016-17,53,DET,Andre Drummond
2016-17,54,SAS,Tony Parker
2016-17,55,MIN,Zach Lavine
2016-17,56,MEM,Mike Conley
2016-17,57,LAL,Jordan Clarkson
2016-17,58,OKC,Steven Adams
2016-17,59,GSW,Javale Mcgee
2016-17,60,LAL,Nick Young
2016-17,61,NOP,Buddy Hield
2016-17,62,NOT IN LEAGUE,Lonzo Ball
2016-17,63,LAL,Julius Randle
2016-17,64,CLE,J.R. Smith
2016-17,65,MEM,Zach Randolph
2016-17,66,DAL,Deron Williams
2016-17,67,SAS,Patty Mills
2016-17,68,DAL,Harrison Barnes
2016-17,69,BOS,Avery Bradley
2016-17,70,POR,CJ Mccollum
2016-17,71,DEN,Danilo Gallinari
2016-17,72,MIA,Chris Bosh
2016-17,73,OKC,Victor Oladipo
2016-17,74,MIA,Justise Winslow
2016-17,75,MIN,Kris Dunn
2016-17,76,ORL,Elfrid Payton
2016-17,77,BOS,Jaylen Brown
2016-17,78,DET,Reggie Jackson
2016-17,79,LAC,Jamal Crawford
2016-17,80,MIL,Thon Maker
2016-17,81,LAC,Jj Redick
2016-17,82,PHI,Jahlil Okafor
2016-17,83,BRK,Brook Lopez
2016-17,84,UTA,Joe Johnson
2016-17,85,HOU,Trevor Ariza
2016-17,86,SAS,Pau Gasol
2016-17,87,ATL,Dennis Schroder
2016-17,88,MEM,Marc Gasol
2016-17,89,PHI,Dario Saric
2016-17,90,CHA,Michael Kidd-Gilchrist
2016-17,91,CHI,Doug Mcdermott
2016-17,92,HOU,Patrick Beverley
2016-17,93,MIN,Ricky Rubio
2016-17,94,ORL,Aaron Gordon
2016-17,95,IND,Myles Turner
2016-17,96,MIA,Goran Dragic
2016-17,97,GSW,Shaun Livingston
2016-17,98,NYK,Joakim Noah
2016-17,99,MIL,Malcolm Brogdon
2016-17,100,MIL,Matthew Dellavedova
2015-16,1,GSW,Stephen Curry
2015-16,2,LAL,Kobe Bryant
2015-16,3,CLE,Lebron James
2015-16,4,CLE,Kyrie Irving
2015-16,5,OKC,Russell Westbrook
2015-16,6,OKC,Kevin Durant
2015-16,7,NYK,Kristaps Porzingis
2015-16,8,CHI,Derrick Rose
2015-16,9,GSW,Klay Thompson
2015-16,10,GSW,Draymond Green
2015-16,11,SAS,Kawhi Leonard
2015-16,12,HOU,James Harden
2015-16,13,CHI,Jimmy Butler
2015-16,14,SAS,Tim Duncan
2015-16,15,MIA,Dwyane Wade
2015-16,16,IND,Paul George
2015-16,17,LAC,Chris Paul
2015-16,18,POR,Damian Lillard
2015-16,19,NYK,Carmelo Anthony
2015-16,20,LAC,Blake Griffin
2015-16,21,NOP,Anthony Davis
2015-16,22,WAS,John Wall
2015-16,23,DAL,Dirk Nowitzki
2015-16,24,GSW,Andre Iguodala
2015-16,25,CLE,Kevin Love
2015-16,26,MIL,Giannis Antetokounmpo
2015-16,27,SAS,Manu Ginobili
2015-16,28,TOR,Demar Derozan
2015-16,29,CHA,Kemba Walker
2015-16,30,TOR,Kyle Lowry
2015-16,31,MIN,Andrew Wiggins
2015-16,32,CHA,Jeremy Lin
2015-16,33,MIL,Jabari Parker
2015-16,34,SAS,Lamarcus Aldridge
2015-16,35,SAS,Tony Parker
2015-16,36,SAC,Demarcus Cousins
2015-16,37,DET,Andre Drummond
2015-16,38,SAC,Rajon Rondo
2015-16,39,MIN,Kevin Garnett
2015-16,40,LAL,D'Angelo Russell
2015-16,41,ATL,Kyle Korver
2015-16,42,BOS,Marcus Smart
2015-16,43,WAS,Bradley Beal
2015-16,44,BOS,Isaiah Thomas
2015-16,45,PHI,Jahlil Okafor
2015-16,46,CHI,Joakim Noah
2015-16,47,PHX,Eric Bledsoe
2015-16,48,CHI,Pau Gasol
2015-16,49,HOU,Dwight Howard
2015-16,50,DAL,Deron Williams
2015-16,51,UTA,Gordon Hayward
2015-16,52,GSW,Harrison Barnes
2015-16,53,ATL,Jeff Teague
2015-16,54,ORL,Victor Oladipo
2015-16,55,CHI,Doug Mcdermott
2015-16,56,MIA,Hassan Whiteside
2015-16,57,CLE,Matthew Dellavedova
2015-16,58,MIN,Karl-Anthony Towns
2015-16,59,MEM,Mike Conley
2015-16,60,PHI,Nerlens Noel
2015-16,61,MIA,Chris Bosh
2015-16,62,GSW,Shaun Livingston
2015-16,63,LAC,J.J. Redick
2015-16,64,POR,CJ Mccollum
2015-16,65,MIA,Amar'e Stoudemire
2015-16,66,OKC,Steven Adams
2015-16,67,LAL,Nick Young
2015-16,68,BOS,Jae Crowder
2015-16,69,BOS,Isaiah Thomas
2015-16,70,BRK,Joe Johnson
2015-16,71,DAL,Chandler Parsons
2015-16,72,NOT IN LEAGUE,Ben Simmons
2015-16,73,CHA,Frank Kaminsky
2015-16,74,TOR,Bismack Biyombo
2015-16,75,LAL,Jordan Clarkson
2015-16,76,GSW,Andrew Bogut
2015-16,77,CLE,J.R. Smith
2015-16,78,MIN,Ricky Rubio
2015-16,79,LAL,Julius Randle
2015-16,80,CHA,Michael Kidd-Gilchrist
2015-16,81,MIA,Justise Winslow
2015-16,82,CLE,Tristan Thompson
2015-16,83,PHX,Devin Booker
2015-16,84,MEM,Zach Randolph
2015-16,85,DEN,Danilo Gallinari
2015-16,86,HOU,Ty Lawson
2015-16,87,BOS,Avery Bradley
2015-16,88,DET,Reggie Jackson
2015-16,89,LAC,Deandre Jordan
2015-16,90,ATL,Paul Millsap
2015-16,91,WNBA,Maya Moore
2015-16,92,SAS,Patty Mills
2015-16,93,GSW,Leandro Barbosa
2015-16,94,BRK,Brook Lopez
2015-16,95,IND,Monta Ellis
2015-16,96,MEM,Marc Gasol
2015-16,97,HOU,Patrick Beverley
2015-16,98,CLE,Iman Shumpert
2015-16,99,SAS,Danny Green
2015-16,100,RETIRED,Ben Wallace
2014-15,1,CLE,LeBron James
2014-15,2,GSW,Stephen Curry
2014-15,3,LAL,Kobe Bryant
2014-15,4,OKC,Kevin Durant
2014-15,5,CHI,Derrick Rose
2014-15,6,CLE,Kyrie Irving
2014-15,7,SAS,Tim Duncan
2014-15,8,NYK,Carmelo Anthony
2014-15,9,MIA,Dwyane Wade
2014-15,10,LAC,Blake Griffin
2014-15,11,HOU,James Harden
2014-15,12,POR,Damian Lillard
2014-15,13,OKC,Russell Westbrook
2014-15,14,WAS,John Wall
2014-15,15,DAL,Dirk Nowitzki
2014-15,16,LAC,Chris Paul
2014-15,17,BOS,Rajon Rondo
2014-15,18,SAS,Kawhi Leonard
2014-15,19,NOP,Anthony Davis
2014-15,20,GSW,Klay Thompson
2014-15,21,LAL,Jeremy Lin
2014-15,22,SAS,Tony Parker
2014-15,23,SAS,Manu Ginobili
2014-15,24,MIN,Andrew Wiggins
2014-15,25,IND,Paul George
2014-15,26,CHI,Joakim Noah
2014-15,27,TOR,Kyle Lowry
2014-15,28,CHI,Jimmy Butler
2014-15,29,WAS,Bradley Beal
2014-15,30,TOR,DeMar DeRozan
2014-15,31,CHI,Doug McDermott
2014-15,32,CLE,Kevin Love
2014-15,33,SAC,DeMarcus Cousins
2014-15,34,MIL,Jabari Parker
2014-15,35,POR,LaMarcus Aldridge
2014-15,36,NYK,Tim Hardaway
2014-15,37,MIA,Chris Bosh
2014-15,38,MIL,Giannis Antetokounmpo
2014-15,39,ORL,Victor Oladipo
2014-15,40,HOU,Dwight Howard
2014-15,41,PHX,Eric Bledsoe
2014-15,42,GSW,Andre Iguodala
2014-15,43,LAL,Nick Young
2014-15,44,BRK,Kevin Garnett
2014-15,45,PHX,Goran Dragic
2014-15,46,PHI,Michael Carter-Williams
2014-15,47,ATL,Kyle Korver
2014-15,48,DAL,Monta Ellis
2014-15,49,BRK,Deron Williams
2014-15,50,BRK,Joe Johnson
2013-14,1,MIA,LeBron James
2013-14,2,OKC,Kevin Durant
2013-14,3,LAL,Kobe Bryant
2013-14,4,CHI,Derrick Rose
2013-14,5,GSW,Stephen Curry
2013-14,6,NYK,Carmelo Anthony
2013-14,7,MIA,Dwyane Wade
2013-14,8,LAC,Chris Paul
2013-14,9,CLE,Kyrie Irving
2013-14,10,HOU,James Harden
2013-14,11,LAC,Blake Griffin
2013-14,12,OKC,Russell Westbrook
2013-14,13,BOS,Rajon Rondo
2013-14,14,SAS,Tim Duncan
2013-14,15,IND,Paul George
2013-14,16,POR,Damian Lillard
2013-14,17,WAS,John Wall
2013-14,18,DAL,Dirk Nowitzki
2013-14,19,PHI,Michael Carter-Williams
2013-14,20,MIA,Ray Allen
2013-14,21,SAS,Tony Parker
2013-14,22,BRK,Deron Williams
2013-14,23,CHI,Joakim Noah
2013-14,24,MIN,Kevin Love
2013-14,25,BRK,Jason Collins
2013-14,26,HOU,Jeremy Lin
2013-14,27,HOU,Dwight Howard
2013-14,28,NOP,Anthony Davis
2013-14,29,BRK,Paul Pierce
2013-14,30,NYK,Amar'e Stoudemire
2013-14,31,MIN,Ricky Rubio
2013-14,32,POR,Lamarcus Aldridge
2013-14,33,MIA,Chris Bosh
2013-14,34,BRK,Kevin Garnett
2013-14,35,DEN,Ty Lawson
2013-14,36,SAS,Manu Ginobili
2013-14,37,LAL,Steve Nash
2013-14,38,CHI,Jimmy Butler
2013-14,39,SAS,Kawhi Leonard
2013-14,40,BRK,Joe Johnson
2013-14,41,HOU,Chandler Parsons
2013-14,42,ORL,Victor Oladipo
2013-14,43,NYK,Iman Shumpert
2013-14,44,MIA,Chris Andersen
2013-14,45,GSW,David Lee
2013-14,46,GSW,Andre Iguodala
2013-14,47,NYK,JR Smith
2013-14,48,NYK,Tyson Chandler
2013-14,49,WAS,Bradley Beal
2013-14,50,GSW,Harrison Barnes
2012-13,1,MIA,LeBron James
2012-13,2,NYK,Carmelo Anthony
2012-13,3,OKC,Kevin Durant
2012-13,4,LAL,Kobe Bryant
2012-13,5,CHI,Derrick Rose
2012-13,6,MIA,Dwyane Wade
2012-13,7,BRK,Deron Williams
2012-13,8,BOS,Rajon Rondo
2012-13,9,LAC,Chris Paul
2012-13,10,LAC,Blake Griffin
2012-13,11,CLE,Kyrie Irving
2012-13,12,GSW,Stephen Curry
2012-13,13,LAL,Dwight Howard
2012-13,14,OKC,Russell Westbrook
2012-13,15,NYK,Amar'e Stoudemire
2012-13,16,BOS,Paul Pierce
2012-13,17,SAS,Tim Duncan
2012-13,18,LAL,Steve Nash
2012-13,19,BRK,Joe Johnson
2012-13,20,DAL,Dirk Nowitzki
2012-13,21,NYK,Tyson Chandler
2012-13,22,MIN,Ricky Rubio
2012-13,23,BOS,Kevin Garnett
2012-13,24,SAS,Manu Ginobili
2012-13,25,HOU,Jeremy Lin
2012-13,26,MIA,Ray Allen
2012-13,27,SAS,Tony Parker
2012-13,28,NYK,JR Smith
2012-13,29,MIN,Kevin Love
2012-13,30,HOU,James Harden
2012-13,31,NYK,Jason Kidd
2012-13,32,WAS,John Wall
2012-13,33,NYK,Iman Shumpert
2012-13,34,MIA,Chris Bosh
2012-13,35,NOP,Anthony Davis
2012-13,36,CHI,Joakim Noah
2012-13,37,PHI,Jrue Holiday
2012-13,38,SAS,Kawhi Leonard
2012-13,39,LAL,Pau Gasol
2012-13,40,DEN,Ty Lawson
2012-13,41,LAL,Metta World Peace
2012-13,42,IND,Paul George
2012-13,43,POR,Damian Lillard
2012-13,44,MEM,Zach Randolph
2012-13,45,CHA,Kemba Walker
2012-13,46,NYK,Steve Novak
2012-13,47,DEN,Danilo Gallinari
2012-13,48,BRK,Gerald Wallace
2012-13,49,GSW,David Lee
2012-13,50,MIL,Brandon Jennings
2011-12,1,NYK,Jeremy Lin
2011-12,2,CHI,Derrick Rose
2011-12,3,MIA,Lebron James
2011-12,4,LAL,Kobe Bryant
2011-12,5,OKC,Kevin Durant
2011-12,6,MIA,Dwyane Wade
2011-12,7,NYK,Carmelo Anthony
2011-12,8,BOS,Rajon Rondo
2011-12,9,LAC,Blake Griffin
2011-12,10,DAL,Dirk Nowitzki
2011-12,11,LAC,Chris Paul
2011-12,12,OKC,Russell Westbrook
2011-12,13,NYK,Amar'e Stoudemire
2011-12,14,BOS,Paul Pierce
2011-12,15,BOS,Ray Allen
2011-12,16,ORL,Dwight Howard
2011-12,17,WAS,John Wall
2011-12,18,MIN,Ricky Rubio
2011-12,19,BOS,Kevin Garnett
2011-12,20,PHX,Steve Nash
2011-12,21,MIN,Kevin Love
2011-12,22,SAS,Tim Duncan
2011-12,23,GSW,Stephen Curry
2011-12,24,SAC,Jimmer Fredette
2011-12,25,MIA,Chris Bosh
2011-12,26,SAS,Manu Ginobili
2011-12,27,CLE,Kyrie Irving
2011-12,28,OKC,James Harden
2011-12,29,SAS,Tony Parker
2011-12,30,GSW,Monta Ellis
2011-12,31,BRK,Deron Williams
2011-12,32,PHI,Andre Iguodala
2011-12,33,LAL,Pau Gasol
2011-12,34,LAL,Metta World Peace
2011-12,35,DAL,Jason Terry
2011-12,36,ATL,Joe Johnson
2011-12,37,LAL,Derek Fisher
2011-12,38,MIL,Brandon Jennings
2011-12,39,CHA,Kemba Walker
2011-12,40,DAL,Jason Kidd
2011-12,41,DEN,Danilo Gallinari
2011-12,42,MEM,Zach Randolph
2011-12,43,SAC,Tyreke Evans
2011-12,44,IND,Danny Granger
2011-12,45,POR,LaMarcus Aldridge
2011-12,46,PHI,Evan Turner
2011-12,47,LAC,Chauncey Billups
2011-12,48,DEN,Chris Andersen
2011-12,49,CHI,Joakim Noah
2011-12,50,NYK,Tyson Chandler
2010-11,1,MIA,LeBron James
2010-11,2,LAL,Kobe Bryant
2010-11,3,CHI,Derrick Rose
2010-11,4,BOS,Rajon Rondo
2010-11,5,MIA,Dwyane Wade
2010-11,6,DEN,Carmelo Anthony
2010-11,7,OKC,Kevin Durant
2010-11,8,NYK,Amar'e Stoudemire
2010-11,9,LAC,Blake Griffin
2010-11,10,DAL,Dirk Nowitzki
2010-11,11,ORL,Dwight Howard
2010-11,12,WAS,John Wall
2010-11,13,BOS,Paul Pierce
2010-11,14,BOS,Ray Allen
2010-11,15,BOS,Kevin Garnett
2010-11,16,PHX,Steve Nash
2010-11,17,NOP,Chris Paul
2010-11,18,MIA,Chris Bosh
2010-11,19,LAL,Pau Gasol
2010-11,20,GSW,Stephen Curry
2010-11,21,OKC,Russell Westbrook
2010-11,22,LAL,Derek Fisher
2010-11,23,GSW,Monta Ellis
2010-11,24,SAS,Manu Ginobili
2010-11,25,SAS,Tim Duncan
2010-11,26,POR,Brandon Roy
2010-11,27,UTA,Deron Williams
2010-11,28,MIL,Brandon Jennings
2010-11,29,ATL,Joe Johnson
2010-11,30,SAS,Tony Parker
2010-11,31,SAC,Tyreke Evans
2010-11,32,DEN,Chauncey Billups
2010-11,33,DAL,Jason Kidd
2010-11,34,LAL,Lamar Odom
2010-11,35,ORL,Vince Carter
2010-11,36,DEN,Chris Andersen
2010-11,37,LAL,Metta World Peace
2010-11,38,PHI,Andre Iguodala
2010-11,39,PHI,Evan Turner
2010-11,40,DEN,JR Smith
2010-11,41,CHI,Carlos Boozer
2010-11,42,IND,Danny Granger
2010-11,43,MEM,O.J. Mayo
2010-11,44,GSW,David Lee
2010-11,45,BOS,Nate Robinson
2010-11,46,ATL,Marvin Williams
2010-11,47,MIN,Kevin Love
2010-11,48,MEM,Zach Randolph
2010-11,49,HOU,Ming Yao
2010-11,50,NOT IN LEAGUE,Ricky Rubio
